case_name,static_contact_angle,epsilon_n_factor,epsilon_t_factor,gamma_factor
zahedi_wall_wetting_000,45,8,6,1
zahedi_wall_wetting_001,45,8,6,2.5
zahedi_wall_wetting_002,45,8,6,5
zahedi_wall_wetting_003,45,8,6,10
zahedi_wall_wetting_004,45,8,0.5,2.5
zahedi_wall_wetting_005,45,8,1,2.5
zahedi_wall_wetting_006,45,8,3,2.5
zahedi_wall_wetting_007,45,8,12,2.5
zahedi_wall_wetting_008,45,8,24,2.5
zahedi_wall_wetting_009,45,8,48,2.5
zahedi_wall_wetting_010,45,8,96,2.5
zahedi_wall_wetting_011,45,8,192,2.5
zahedi_wall_wetting_012,25,8,0.5,2.5
zahedi_wall_wetting_013,25,8,1,2.5
zahedi_wall_wetting_014,25,8,3,2.5
zahedi_wall_wetting_015,25,8,6,2.5
zahedi_wall_wetting_016,25,8,12,2.5
zahedi_wall_wetting_017,25,8,24,2.5
zahedi_wall_wetting_018,25,8,48,2.5
zahedi_wall_wetting_019,25,8,96,2.5
zahedi_wall_wetting_020,25,8,192,2.5
